ingredient,occurrence_count
indapamide,82
dorzolamide,82
clomiphene citrate,82
luliconazole 1%,82
magnesium oxide,81
epirubicin,81
potassium clavulanate,81
levodopa,81
allylestrenol,80
nadifloxacin,80
rabeprazole sodium,80
cyanocobalamin,79
ilaprazole,78
darbepoetin alfa,78
prasugrel,78
mebendazole,77
methylergometrine,76
terlipressin,76
levocetirizine dihydrochloride,76
boron,75
bacillus clausii,75
naphazoline,75
disulfiram,75
abiraterone acetate,75
albumin,75
pitavastatin,75
carbidopa,75
ademetionine,74
leuprolide,73
cyclobenzaprine,73
montelukast sodium,73
ispaghula,72
vortioxetine,72
eperisone,71
calcium citrate malate,71
mannitol,71
lincomycin,71
cinitapride,71
trioxasalen,70
desonide,70
nicotine,70
clonidine,70
lenalidomide,69
sentosa geigy,68
megestrol,68
eplerenone,68
sulfasalazine,68
tiotropium,68
tolterodine,68
chlorocresol,67
sodium alginate,67
ketoprofen,67
cyclophosphamide,67
vitamin b6,67
mosapride,66
bupropion,66
ketoconazole 2%,66
thioridazine,65
cerebroprotein hydrolysate,65
vitamin d3 (cholecalciferol),65
palbociclib,64
urea,64
drospirenone,64
ipratropium bromide,64
moxonidine,63
pyrimethamine,63
desogestrel,63
hyoscine butylbromide,63
torsemide,63
phenobarbitone,62
acenocoumarol,62
alendronic acid,62
tolvaptan,62
magnesium citrate,62
sumatriptan,62
rosiglitazone,62
povidone-iodine,62
dexchlorpheniramine,61
lactic acid,61
buprenorphine,61
levocarnitine,61
bisacodyl,60
citric acid,60
bimatoprost,60
saxagliptin,60
fluticasone,60
hydroxyprogesterone caproate,60
oxychloro complex,59
ginkgo biloba,59
irbesartan,59
maxx farmacia,58
octreotide acetate,58
procyclidine,58
doripenem,58
coal tar,58
latanoprost,58
eicosapentaenoic acid,57
acotiamide,57
teriparatide,57
rizatriptan,57
caspofungin,57
lignocaine,57
inositol,56
dasatinib,56
pirfenidone,56
cisapride,56
s-adenosyl l-methoinine disulfate tosylate,55
selenium dioxide,55
potassium nitrate,55
vinpocetine,55
capecitabine,55
aprepitant,54
benzydamine,54
enzalutamide,54
dexrabeprazole,54
sunitinib,54
amino acids,54
calcium chloride,54
doxepin,54
erlotinib,54
rivastigmine,54
micafungin,54
vitamin k2,54
recombinant follicle stimulating hormone,53
diethylcarbamazine,53
sodium monofluorophosphate,53
midodrine,53
sodium fluoride,53
dexlansoprazole,53
avibactam,53
emtricitabine,53
diloxanide,52
danazol,52
rebanta health care,51
obeticholic acid,51
rituximab,51
brinzolamide,51
chlorhexidine,51
dicyclomine hydrochloride,51
healthtree pharma,50
atomoxetine,50
methoxsalen,50
trazodone,50
candesartan,50
colistin,50
imatinib mesylate,49
zinc chloride,49
entecavir,49
halobetasol propionate,49
getwell pharma,48
levodropropizine,48
l-carnitine l-tartrate,48
everolimus,48
modafinil,48
efavirenz,48
bromocriptine,48
vonoprazan,48
rebamipide,48
ceftriaxone sodium,48
undetermined,48
bifidobacterium longum,47
hyaluronic acid,47
ketotifen,47
colistin sulphate,46
azelnidipine,46
silver sulfadiazine,46
betahistine dihydrochloride,46
sulphadoxine,45
ibandronic acid,45
paliperidone,45
acitretin,45
zoledronic acid,45
doxylamine succinate,45
thiamine mononitrate,44
orphic pharma,44
lenvatinib,44
human normal immunoglobulin,44
amiodarone,44
ertapenem,44
sofosbuvir,44
perindopril erbumine,43
ferrous bisglycinate,43
fenticonazole,43
edaravone,43
primaquine,43
gemifloxacin,43
lysine,43
levothyroxine,43
cyproterone,42
boric acid,42
bempedoic acid,42
pepsin,42
eltrombopag,42
lurasidone,42
pomalidomide,42
bortezomib,42
adrenaline,42
bupivacaine,42
bacitracin,42
diosmin,42
testosterone,41
ritodrine,41
oxaceprol,41
nalidixic acid,41
loxapine,41
denosumab,41
rupatadine,41
bendamustine,41
cefpirome,40
zinc bisglycinate,40
fructo oligosaccharide,40
dextropropoxyphene,40
streptococcus thermophilus,40
allantoin,40
triclosan,40
elemental iron,40
bevacizumab,40
posaconazole,40
camphor,40
calcipotriol,40
nevirapine,40
lactobacillus sporogenes,40
colchicine,40
betamethasone valerate,40
uncategorized,40
flucloxacillin sodium,39
medcover pharmaceuticals,39
d-chiro inositol,39
sulphacetamide,39
trastuzumab,39
sodium lactate,39
insulin glargine,39
nateglinide,39
isosorbide dinitrate,39
pyrantel pamoate,39
loteprednol,39
organon,38
regalia pharmaceuticals,38
ciclopirox,38
difluprednate,38
bepotastine,38
midazolam,38
semaglutide,38
cetirizine hydrochloride,38
unkown,38
magnesium sulphate,37
cyclopentolate,37
zinc gluconate,36
tamoxifen,36
epalrestat,36
apremilast,36
cisplatin,36
streptokinase,36
vitamin b12,36
losartan potassium,36
thyroxine sodium,36
pantoprazole sodium,36
azacitidine,35
stavudine,35
mesalamine,35
rutoside trihydrate,35
calcium leucovorin,34
ozenoxacin,34
calcitonin,34
bethanechol,34
nintedanib,34
ritonavir,34
amphotericin b,34
unknwon,34
levocloperastine,33
l-alanyl-l-glutamine,33
atlina life sciences,33
ulipristal acetate,33
terazosin,33
pilocarpine,33
carbimazole,33
sulpiride,33
tramadol hydrochloride,33
akcent healthcare india,32
perampanel,32
diastase,32
tetanus toxoid,32
mefloquine,32
pefloxacin,32
pazopanib,32
ganciclovir,32
vilazodone,32
doxorubicin,32
jntl consumer health,31
afatinib dimaleate,31
acetazolamide,31
oseltamivir phosphate,31
olaparib,31
pentazocine,31
thalidomide,31
neostigmine,31
