Pyridoxine Hydrochloride	pyridoxine	True	169
Sevelamer	sevelamer	True	167
Repaglinide	repaglinide	True	167
Erythromycin	erythromycin	True	167
Mirabegron	mirabegron	True	167
Dosulepin		False	167
Valproic Acid	valproic acid	True	167
Pyrazinamide	pyrazinamide	True	166
Sacubitril	sacubitril	True	164
Isosorbide Mononitrate	isosorbide mononitrate	True	163
Codeine	codeine	True	162
Benfotiamine		False	159
Teicoplanin		False	158
Clobazam	clobazam	True	158
Levo-carnitine		False	158
Nepafenac	nepafenac	True	157
Taurine		False	157
Fluocinolone Acetonide	fluocinolone acetonide	True	156
Clidinium	clidinium	True	154
Topiramate	topiramate	True	154
Clomiphene		False	154
Donepezil	donepezil	True	154
Imipramine	imipramine	True	153
Enalapril	enalapril	True	153
Propylene Glycol		False	153
Ivabradine	ivabradine	True	152
Ebastine		False	148
Theophylline	theophylline	True	147
Solifenacin	solifenacin	True	146
Diazepam	diazepam	True	146
Fluorometholone	fluorometholone	True	146
Lisinopril	lisinopril	True	146
Fluticasone Furoate	fluticasone	True	144
Melatonin	melatonin	True	144
Ethambutol	ethambutol	True	143
Thiamine		False	143
East African		False	139
L-methyl Folate Calcium		False	139
Quinine	quinine	True	139
Colistimethate Sodium	colistimethate	True	137
Halobetasol		False	136
Docetaxel	docetaxel	True	136
Secnidazole	secnidazole	True	135
Orlistat	orlistat	True	134
Silymarin		False	134
Polymyxin B	polymyxin b	True	134
Diltiazem	diltiazem	True	133
Iron	iron	True	132
Alpha Ketoanalogue		False	132
Trimetazidine		False	129
Brivaracetam	brivaracetam	True	126
Zinc Sulfate		False	126
Benzoyl Peroxide	benzoyl peroxide	True	125
Nifedipine	nifedipine	True	125
Brimonidine	brimonidine	True	125
Clioquinol	clioquinol	True	124
Mebeverine		False	123
Fatty Acid		False	122
Sertaconazole		False	122
Tolnaftate		False	122
Mifepristone	mifepristone	True	121
Sulfamethoxazole	sulfamethoxazole	True	120
Recombinant Human Erythropoietin Alfa		False	120
Fluvoxamine	fluvoxamine	True	120
Phenytoin	phenytoin	True	119
Misoprostol	misoprostol	True	118
Memantine	memantine	True	117
Hydroxychloroquine	hydroxychloroquine	True	117
Zinc Sulphate Monohydrate		False	116
Trimethoprim	trimethoprim	True	116
Chlorbutol		False	115
Estradiol	estradiol	True	115
Calcium		False	115
Famotidine	famotidine	True	115
Prochlorperazine	prochlorperazine	True	115
Benzocaine	benzocaine	True	114
Zinc Oxide		False	114
Heparin	heparin	True	114
Nitazoxanide	nitazoxanide	True	114
Temozolomide	temozolomide	True	113
Chlorpromazine	chlorpromazine	True	112
Ticagrelor	ticagrelor	True	112
Vitamin C		False	112
Gemcitabine	gemcitabine	True	111
Chloroquine	chloroquine	True	111
Lactobacillus Acidophilus	lactobacillus acidophilus	True	110
Lacosamide	lacosamide	True	109
Chromium Picolinate	chromium picolinate	True	109
Pramipexole	pramipexole	True	108
Triamcinolone Acetonide		False	108
Azilsartan Medoxomil	azilsartan medoxomil	True	108
Tigecycline	tigecycline	True	107
Calcium Dobesilate		False	107
Salmeterol	salmeterol	True	106
Benidipine		False	105
Amorolfine		False	105
Prucalopride	prucalopride	True	105
Docosahexanoic Acid		False	104
Mesalazine	mesalazine	True	104
Clozapine	clozapine	True	104
Selenium	selenium	True	103
Ipratropium	ipratropium	True	103
Loperamide	loperamide	True	101
Carbamazepine	carbamazepine	True	101
Ranolazine	ranolazine	True	101
Minocycline	minocycline	True	100
Paradichlorobenzene		False	99
Paclitaxel	paclitaxel	True	99
Human Insulin		False	98
Nitrazepam	nitrazepam	True	98
Glutathione		False	98
Human Chorionic Gonadotropin		False	97
Turpentine Oil		False	97
Rofecoxib	rofecoxib	True	97
Lithium Carbonate		False	96
Capsaicin	capsaicin	True	95
S-amlodipine		False	94
Prazosin	prazosin	True	94
Ciclosporin	cyclosporine	True	93
Lindane	lindane	True	92
Aztreonam	aztreonam	True	92
Metoprolol Tartrate	metoprolol	True	92
Lycopene		False	92
Medroxyprogesterone Acetate		False	91
Choline Salicylate	choline salicylate	True	90
Lactitol	lactitol	True	89
Favipiravir		False	89
Granisetron	granisetron	True	89
Menotrophin		False	88
Sultamicillin Tosilate		False	88
Ferric Carboxymaltose	ferric carboxymaltose	True	87
Alfuzosin	alfuzosin	True	87
Azelastine	azelastine	True	87
L-arginine		False	86
Eberconazole		False	85
Glipizide	glipizide	True	84
Triprolidine	triprolidine	True	84
Saccharomyces Boulardii		False	83
Mycophenolate Sodium		False	83
Glycerin	glycerin	True	83
Atropine	atropine	True	83
Labetalol	labetalol	True	83
Potassium Chloride		False	82
Dehydroepiandrosterone		False	82
Acarbose	acarbose	True	82
Furosemide	furosemide	True	81
Bromfenac	bromfenac	True	80
Allopurinol	allopurinol	True	80
Calcium Citrate		False	80
Magnesium Oxide	magnesium oxide	True	79
Travoprost	travoprost	True	79
Metaxalone	metaxalone	True	78
Insulin Isophane		False	78
Leflunomide	leflunomide	True	78
Pemetrexed	pemetrexed	True	78
Etofylline		False	78
Lamivudine	lamivudine	True	78
