Allopurinol	80
Calcium Citrate	80
Magnesium Oxide	79
Travoprost	79
Metaxalone	78
Insulin Isophane	78
Leflunomide	78
Pemetrexed	78
Etofylline	78
Lamivudine	78
Dienogest	77
Epirubicin	77
Simvastatin	76
Dabigatran Etexilate	76
Carvedilol	75
Fosfomycin	75
Allylestrenol	75
Dimenhydrinate	74
Boron	74
Metoclopramide	74
Glycopyrrolate	74
Magnesium Trisilicate	73
Dextrose	73
Potassium Citrate	73
Oxymetazoline	72
Potassium Clavulanate	72
Mycophenolate Mofetil	72
Apixaban	71
Furazolidone	71
Ispaghula	70
Trioxasalen	70
Ademetionine	70
Tetracycline	70
Bacillus Clausii	70
Oxaliplatin	70
Methylergometrine	69
Biotin	69
Anastrozole	69
Venlafaxine	69
Sentosa Geigy	68
Naphazoline	68
Indomethacin	68
Flurbiprofen	67
Tropicamide	67
Ilaprazole	67
Azathioprine	67
Megestrol	66
Nadifloxacin	66
Chlorocresol	65
Griseofulvin	65
Darbepoetin Alfa	65
Disulfiram	64
Lenalidomide	64
Vitamin E	64
Eperisone	64
Indapamide	64
Cyanocobalamin	63
Clomipramine	63
Levonorgestrel	63
Abiraterone Acetate	62
Cefaclor	62
Levamisole	62
Terlipressin	62
Thioridazine	62
Tenofovir Disoproxil Fumarate	62
Calcium Citrate Malate	61
Leuprolide	61
Palbociclib	61
Dexchlorpheniramine	60
Phenobarbitone	60
Eplerenone	60
Azelaic Acid	60
Oxychloro Complex	59
Netilmicin	59
Urofollitropin	59
Moxonidine	59
Voriconazole	58
Dorzolamide	58
Pyrimethamine	58
Maxx Farmacia	58
Mosapride	57
Sulfasalazine	57
Acenocoumarol	57
Octreotide Acetate	57
Cefdinir	57
Sodium Alginate	56
Tiotropium	56
S-adenosyl L-methoinine Disulfate Tosylate	55
Selenium Dioxide	55
Desogestrel	55
Prasugrel	55
Procyclidine	55
Mannitol	54
Eicosapentaenoic Acid	54
Alendronic Acid	54
Tolvaptan	53
Lincomycin	53
Inositol	53
Albumin	53
Doripenem	53
Recombinant Follicle Stimulating Hormone	53
Ginkgo Biloba	53
Diloxanide	52
Acotiamide	52
Diethylcarbamazine	52
Coal Tar	51
Rebanta Health Care	51
Urea	51
Dasatinib	51
Potassium Nitrate	50
Sodium Monofluorophosphate	50
Healthtree Pharma	50
Tolterodine	50
Obeticholic Acid	50
Aprepitant	50
Midodrine	49
Benzydamine	49
Lactic Acid	49
Drospirenone	49
Magnesium Citrate	49
Getwell Pharma	48
Bisacodyl	48
Desonide	48
Levodropropizine	47
Enzalutamide	47
Vortioxetine	47
Dexrabeprazole	47
L-carnitine L-tartrate	47
Ketoprofen	47
Sunitinib	47
Chondroitin	46
Danazol	46
Atomoxetine	46
Colistin Sulphate	46
Amino Acids	46
Sumatriptan	46
Calcium Chloride	45
Azelnidipine	45
Imatinib Mesylate	45
Sulphadoxine	45
Methoxsalen	45
Cerebroprotein Hydrolysate	45
Teriparatide	45
Doxepin	45
Thiamine Mononitrate	44
Orphic Pharma	44
Vancomycin	43
Perindopril Erbumine	43
Rosiglitazone	43
Irbesartan	43
Ibandronic Acid	43
Hyoscine Butylbromide	43
Bifidobacterium Longum	43
Everolimus	42
Pirfenidone	42
Ferrous Bisglycinate	42
Citric Acid	42
Cinitapride	41
Meloxicam	41
Lenvatinib	41
Cisapride	41
Sodium Fluoride	41
Erlotinib	41
Pitavastatin	41
Cilostazol	41
Cyproterone	41
Boric Acid	41
Buprenorphine	41
Cefpirome	40
Zinc Chloride	40
Fenticonazole	40
Zinc Bisglycinate	40
Fructo Oligosaccharide	40
Hyaluronic Acid	39
Dextropropoxyphene	39
Mebendazole	39
Modafinil	39
Flucloxacillin Sodium	39
Trazodone	39
Testosterone	39
Medcover Pharmaceuticals	39
Carboplatin	39
Ritodrine	39
Streptococcus Thermophilus	39
Oxaceprol	39
Ropinirole	38
D-chiro Inositol	38
Entecavir	38
Edaravone	38
Allantoin	38
Dexlansoprazole	38
Organon	38
Human Normal Immunoglobulin	38
Regalia Pharmaceuticals	38
Triclosan	38
Bempedoic Acid	38
Ciclopirox	37
Magnesium Sulphate	37
Paliperidone	37
Sulphacetamide	37
Bupropion	37
Pepsin	37
Elemental Iron	37
Primaquine	37
Citalopram	36
Nalidixic Acid	36
Eltrombopag	36
Bevacizumab	36
Rituximab	35
Brinzolamide	35
Lurasidone	35
Amiodarone	35
Loxapine	35
Rivastigmine	35
Rizatriptan	35
Acitretin	34
Bimatoprost	34
Avibactam	34
Calcium Leucovorin	34
Zinc Gluconate	34
Vinpocetine	34
Azacitidine	34
Ozenoxacin	34
Tamoxifen	34
Calcitonin	33
Cyclobenzaprine	33
Capecitabine	33
Pomalidomide	33
Posaconazole	33
Levocloperastine	33
Trastuzumab	33
L-alanyl-l-glutamine	33
Atlina Life Sciences	33
Levodopa	33
Difluprednate	32
Latanoprost	32
Gemifloxacin	32
Camphor	32
Zoledronic Acid	32
Cabergoline	32
Stavudine	32
Efavirenz	32
Akcent Healthcare India	32
Epalrestat	32
Sodium Lactate	31
Bortezomib	31
Cyclophosphamide	31
Perampanel	31
JNTL Consumer Health	31
Calcipotriol	31
Diastase	31
Afatinib Dimaleate	31
Ketotifen	31
Nicotine	31
Oleum Lini	30
Nevirapine	30
Adrenaline	30
Apremilast	30
Bethanechol	30
Acetazolamide	29
Celecoxib	29
Bepotastine	29
Asparaginase	29
Tetanus Toxoid	29
Midazolam	29
Oseltamivir Phosphate	29
Ulipristal Acetate	29
Denosumab	28
Ertapenem	28
Lafutidine	28
Camylofin	28
Insulin Glargine	28
Terazosin	28
Olaparib	28
Emtricitabine	28
Valacyclovir	27
Silver Sulfadiazine	27
Bupivacaine	27
Nateglinide	27
Nintedanib	27
Lovastatin	27
Carbidopa	27
Hydroxyurea	26
AS Pharmaceutical	26
Sofosbuvir	26
Bacitracin	26
Inositol Nicotinate	26
Bromocriptine	26
Ritonavir	26
Pentazocine	26
Jainson Biotech	26
Caspofungin	26
Rupatadine	26
Diosmin	26
Metadoxine	26
Collagen Peptide	25
Iloperidone	25
Remogliflozin Etabonate	25
Cisplatin	25
Opipramol	25
Micafungin	25
Irinotecan	25
Isosorbide Dinitrate	25
Meclizine	25
Oxytocin	25
Methocarbamol	25
Polmacoxib	24
Gleck Pharma	24
Hepatitis B Vaccine	24
Unifaith Biotech	24
Mefloquine	24
Ranip Drugs	24
Metolazone	24
Oxytetracycline	24
Ulinastatin	24
Pyrantel Pamoate	24
Axitinib	23
Urokinase	23
Thalidomide	23
Mesna	23
Sorafenib	23
Mediz India Pharma Industries	23
Pilocarpine	23
Imeglimin	23
Filant	23
Haloperidol Decanoate	23
Methylphenidate	23
Pimozide	23
Penicillin G	23
Zidovudine	23
Clonidine	23
Gefitinib	23
Vitamin A	22
Pefloxacin	22
Dacarbazine	22
Pazopanib	22
Deferasirox	22
Probenecid	22
Enclomiphene	22
Clobetasone	22
Neostigmine	22
Propofol	22
Tenofovir Alafenamide	22
Astaxanthin	22
Palonosetron	22
Dexmedetomidine	22
Amphotericin B	22
Famciclovir	22
Charcoal	22
Avtix Health	22
Proanthocyanidin	22
Primidone	21
Fosaprepitant	21
Carbimazole	21
Maksal Pharmaceuticals	21
Flavoured Mentholated Base	21
Seagull Laboratories	21
Pharma Lifescience	21
Ticarcillin	21
Natamycin	21
Prilocaine	21
Triclofos	21
Human	21
Ganciclovir	21
Etoposide	20
Calcium Polystyrene Sulphonate	20
Dill Oil	20
Fennel Oil	20
Oxiconazole	20
Miglitol	20
